accrual_id,accrual_date,vendor_id,gl_account_id,description,estimated_amount,actual_amount,variance,variance_percent,created_by,status,notes
AC2024-05-01,5/31/24,V001,GL4500,Office Lease June 2024,4250,4250,0,0,System,Cleared,Auto-generated based on contract
AC2024-05-02,5/31/24,V002,GL5200,IT Services June 2024,3875.25,3875.25,0,0,System,Cleared,Auto-generated based on contract
AC2024-05-03,5/31/24,V003,GL5300,Accounting Software June 2024,1250,1250,0,0,System,Cleared,Auto-generated based on contract
AC2024-05-04,5/31/24,V005,GL5100,Electricity May 2024 (5 days),687.63,690.25,2.62,0.38,User,Cleared,Manual estimate for 5 days based on average daily cost
AC2024-05-05,5/31/24,V006,GL5110,Water May 2024 (5 days),315.08,320.13,5.05,1.6,User,Cleared,Manual estimate for 5 days based on average daily cost
AC2024-05-06,5/31/24,V007,GL5400,Marketing Services June 2024,7500,7500,0,0,System,Cleared,Auto-generated based on contract
AC2024-05-07,5/31/24,V008,GL5500,Cleaning Services June 2024,2340,2340,0,0,System,Cleared,Auto-generated based on contract
AC2024-05-08,5/31/24,V010,GL5250,Internet June 2024,1875.3,1875.3,0,0,System,Cleared,Auto-generated based on contract
AC2024-05-09,5/31/24,V014,GL5230,Data Backup Services June 2024,1850,1850,0,0,System,Cleared,Auto-generated based on contract
AC2024-05-10,5/31/24,V022,GL5210,Cloud Infrastructure Services June 2024,3250,3250,0,0,System,Cleared,Auto-generated based on contract
AC2024-05-11,5/31/24,V029,GL4530,Security Monitoring Services June 2024,1950,1950,0,0,System,Cleared,Auto-generated based on contract
AC2024-05-12,5/31/24,V030,GL5220,Network Management Services June 2024,2850,2850,0,0,System,Cleared,Auto-generated based on contract
AC2024-06-01,6/30/24,V001,GL4500,Office Lease July 2024,4250,4250,0,0,System,Cleared,Auto-generated based on contract
AC2024-06-02,6/30/24,V002,GL5200,IT Services July 2024,3875.25,3875.25,0,0,System,Cleared,Auto-generated based on contract
AC2024-06-03,6/30/24,V003,GL5300,Accounting Software July 2024,1250,1250,0,0,System,Cleared,Auto-generated based on contract
AC2024-06-04,6/30/24,V005,GL5100,Electricity June 2024 (7 days),1008.08,985.65,-22.43,-2.22,User,Cleared,Manual estimate for 7 days based on average daily cost
AC2024-06-05,6/30/24,V006,GL5110,Water June 2024 (7 days),448.18,455.3,7.12,1.59,User,Cleared,Manual estimate for 7 days based on average daily cost
AC2024-06-06,6/30/24,V007,GL5400,Marketing Services July 2024,7500,7500,0,0,System,Cleared,Auto-generated based on contract
AC2024-06-07,6/30/24,V008,GL5500,Cleaning Services July 2024,2340,2340,0,0,System,Cleared,Auto-generated based on contract
AC2024-06-08,6/30/24,V010,GL5250,Internet July 2024,1875.3,1875.3,0,0,System,Cleared,Auto-generated based on contract
AC2024-06-09,6/30/24,V012,GL5700,Equipment Maintenance Q2,1350,1350,0,0,System,Cleared,Quarterly amortization of annual contract
AC2024-06-10,6/30/24,V014,GL5230,Data Backup Services July 2024,1850,1850,0,0,System,Cleared,Auto-generated based on contract
AC2024-06-11,6/30/24,V022,GL5210,Cloud Infrastructure Services July 2024,3250,3250,0,0,System,Cleared,Auto-generated based on contract
AC2024-06-12,6/30/24,V020,GL6330,Employee Benefits Administration July 2024,2750,2750,0,0,System,Cleared,Auto-generated based on contract
AC2024-06-13,6/30/24,V027,GL5120,Renewable Energy Services July 2024,1750,1750,0,0,System,Cleared,Auto-generated based on contract
AC2024-07-01,7/31/24,V001,GL4500,Office Lease August 2024,4250,4250,0,0,System,Cleared,Auto-generated based on contract
AC2024-07-02,7/31/24,V002,GL5200,IT Services August 2024,3875.25,3875.25,0,0,System,Cleared,Auto-generated based on contract
AC2024-07-03,7/31/24,V003,GL5300,Accounting Software August 2024,1250,1250,0,0,System,Cleared,Auto-generated based on contract
AC2024-07-04,7/31/24,V005,GL5100,Electricity July 2024 (6 days),936.17,945.3,9.13,0.98,User,Cleared,Manual estimate for 6 days based on average daily cost
AC2024-07-05,7/31/24,V006,GL5110,Water July 2024 (6 days),390.05,388.27,-1.78,-0.46,User,Cleared,Manual estimate for 6 days based on average daily cost
AC2024-07-06,7/31/24,V007,GL5400,Marketing Services August 2024,7500,7500,0,0,System,Cleared,Auto-generated based on contract
AC2024-07-07,7/31/24,V008,GL5500,Cleaning Services August 2024,2340,2340,0,0,System,Cleared,Auto-generated based on contract
